"Index","E_ARS","E_AUD","E_AUT","E_BEF","E_BRL","E_CAD","E_CHF","E_CNY","E_CZK","E_DEM","E_DKK","E_ESP","E_FKK","E_FRA","E_GBP","E_GRD","E_HKD","E_HUF","E_IDR","E_ILS","E_INR","E_IRE","E_ITL","E_JPY","E_KRW","E_MXN","E_MYR","E_NOK","E_NTH","E_NZD","E_PHP","E_PLN","E_RUB","E_SEK","E_SGD","E_SKK","E_THB","E_TRY","E_TWD","E_USD","E_ZAR","EURSTOXX50"
1994-01-31,null,0.0475,0.0589844,0.0675,null,0.036875,0.0407813,null,0.0862,0.05875,0.06275,0.08664,null,0.0630468,0.055,0.0589844,0.0360156,null,null,null,null,0.06,0.0825,0.0225,0.1145,null,0.0632,0.0511,0.0525,0.045,null,null,null,0.0697,0.0325,null,null,null,0.0635,0.0325,null,0.0575625298575703
1994-02-28,null,0.048125,0.059375,0.06426,null,0.04,0.0417188,null,0.0856,0.059375,0.06275,0.08541,null,0.0625,0.051875,0.059375,0.0422656,null,null,null,null,0.061875,0.08125,0.02375,0.121,null,0.0597,0.0497,0.0532,0.0507,null,null,null,0.0698,0.0306,null,null,null,0.0635,0.0375,null,0.0570736584776474
1994-03-31,null,0.049375,0.0570313,0.06195,null,0.0585938,0.041875,null,0.08675,0.056875,0.061583,0.08025,null,0.061875,0.0538281,0.0570313,0.044375,null,null,null,null,0.065,0.08125,0.023125,0.126,null,0.0555,0.0573,0.0533,0.066,null,null,null,0.0704,0.035,null,null,null,0.0635,0.039375,null,0.0561151086770247
1994-04-30,null,0.04875,0.05375,0.05719,null,0.0603125,0.04,null,0.0715,0.05375,0.0605,0.0779,null,0.058125,0.0525,0.05375,0.0450781,null,null,null,null,0.06,0.076875,0.023125,0.124,null,0.0505,0.0534,0.0529,0.0644,null,null,null,0.0709,0.04,null,null,null,0.061,0.043125,null,0.0534247699990967
1994-05-31,null,0.048125,0.05125,0.05343,null,0.061875,0.0425,null,0.0668,0.05125,0.06228,0.07615,null,0.055664,0.0525,0.05125,0.046875,null,null,null,null,0.058125,0.074375,0.021875,0.1247,null,0.0447,0.0539,0.0513,0.0557,null,null,null,0.07,0.0369,null,null,null,0.061,0.04625,null,0.0510663428263399
1994-06-30,null,0.0575,0.05,0.0556,null,0.064375,0.0432813,null,0.067,0.05,0.06,0.07723,null,0.05625,0.0520313,0.05,0.0507031,null,null,null,null,0.05625,0.08375,0.021875,0.1273,null,0.0445,0.0533,0.0499,0.0714,null,null,null,0.0699,0.0388,null,null,null,0.0595,0.04875,null,0.050969479946972
1994-07-31,null,0.055,0.05,0.05438,null,0.05875,0.04375,null,0.0798,0.05,0.0653,0.07774,null,0.055625,0.0560938,0.05,0.049375,null,null,null,null,0.0575,0.084375,0.0225,0.133,null,0.0445,0.0547,0.0493,0.0694,null,null,null,0.0732,0.0356,null,null,null,0.0595,0.04875,null,0.0504276808363678
1994-08-31,null,0.056875,0.05,0.05504,null,0.0553125,0.043125,null,0.07955,0.05,0.0648,0.07822,null,0.0566015,0.055625,0.05,0.0492969,null,null,null,null,0.0625,0.08625,0.02375,0.15,null,0.044,0.0598,0.0499,0.0699,null,null,null,0.0768,0.04,null,null,null,0.0595,0.05,null,0.051138986876821
1994-09-30,null,0.061875,0.051875,0.05375,null,0.053125,0.041875,null,0.0886,0.051875,0.06494,0.07826,null,0.0566796,0.0591406,0.051875,0.0527344,null,null,null,null,0.0575,0.083125,0.02375,0.154,null,0.045,0.0705,0.0517,0.0759,null,null,1.1137,0.0771,0.0381,null,null,null,0.0595,0.055,null,0.0514647533157456
1994-10-31,null,0.06875,0.0518359,0.05237,null,0.055,0.040625,null,0.1065,0.051875,0.06092,0.07852,null,0.05625,0.060625,0.0518359,0.0555469,null,null,null,null,0.05625,0.08625,0.0239063,0.1405,0.1358,0.046,0.0663,0.052,0.0819,null,null,1.465,0.0795,0.0344,null,null,null,0.061,0.05625,null,0.051294964317121
