Date,TimeSeries.TotalReturnIndex
31/05/2008,100.117000000000000
30/06/2008,87.893000000000000
31/07/2008,89.973000000000000
31/08/2008,82.638000000000000
30/09/2008,65.450000000000000
31/10/2008,50.475000000000000
30/11/2008,52.769000000000000
31/12/2008,58.311000000000000
31/01/2009,53.499000000000000
28/02/2009,51.803000000000000
31/03/2009,59.086000000000000
30/04/2009,65.649000000000000
31/05/2009,77.085000000000000
30/06/2009,80.246000000000000
31/07/2009,88.939000000000000
31/08/2009,82.693000000000000
30/09/2009,86.553000000000000
31/10/2009,92.132000000000000
30/11/2009,94.395000000000000
31/12/2009,94.877000000000000
31/01/2010,86.816000000000000
28/02/2010,88.691000000000000
31/03/2010,93.511000000000000
30/04/2010,93.191000000000000
31/05/2010,88.456000000000000
30/06/2010,89.581000000000000
31/07/2010,93.235000000000000
